Latitude,Longitude,State,Number of Records,Date Checked,Death Increase,Death,Fips,Hospitalized Cumulative,Hospitalized Currently,Hospitalized Increase,Hospitalized,In Icu Cumulative,In Icu Currently,Negative Increase,Negative,On Ventilator Cumulative,On Ventilator Currently,Pending,Pos Neg,Positive Increase,Positive,Recovered,State Postal Code,Total Test Results Increase,Total Test Results,Total
44,-120.5,Oregon,1,4/1/2020 8:00:00 PM,0,18,41,154,132,0,154,,,0,13136,40,40,,13872,46,736,,OR,46,13872,13872
41.203323,-77.194527,Pennsylvania,1,4/1/2020 8:00:00 PM,11,74,42,620,,106,620,,,4782,42427,,,,48232,962,5805,,PA,5744,48232,48232
18.200178,-66.664513,Puerto Rico,1,4/1/2020 8:00:00 PM,3,11,72,,,0,,,,214,1409,,,897,1695,47,286,,PR,261,1695,2592
41.700001,-71.5,Rhode Island,1,4/1/2020 8:00:00 PM,2,10,44,60,60,1,60,14,14,355,3831,6,6,,4397,78,566,35,RI,433,4397,4397
33.836082,-81.163727,South Carolina,1,4/1/2020 8:00:00 PM,4,26,45,349,,90,349,,,417,5033,,,,6326,210,1293,,SC,627,6326,6326
44.5,-100,South Dakota,1,4/1/2020 8:00:00 PM,1,2,46,12,,0,12,,,294,3903,,,0,4032,21,129,51,SD,315,4032,4032
35.860119,-86.660156,Tennessee,1,4/1/2020 8:00:00 PM,1,24,47,200,,25,200,,,4648,29769,,,,32452,444,2683,137,TN,5092,32452,32452
31,-100,Texas,1,4/1/2020 8:00:00 PM,17,58,48,196,,0,196,,,4134,43860,,,,47857,731,3997,38,TX,4865,47857,47857
39.41922,-111.950684,Utah,1,4/1/2020 8:00:00 PM,2,7,49,91,,18,91,,,2529,20155,,,,21167,125,1012,,UT,2654,21167,21167
37.926868,-78.024902,Virginia,1,4/1/2020 8:00:00 PM,7,34,51,305,,140,305,145,,1709,13860,108,,,15344,234,1484,,VA,1943,15344,15344
18.343441,-64.8671634,Virgin Islands,1,4/1/2020 8:00:00 PM,0,,78,,,0,,,,0,126,,,24,156,0,30,21,VI,0,156,180
44,-72.699997,Vermont,1,4/1/2020 8:00:00 PM,3,16,50,45,30,9,45,,,217,4174,,,,4495,28,321,15,VT,245,4495,4495
47.751076,-120.740135,Washington,1,4/1/2020 8:00:00 PM,29,224,53,254,,0,254,,,0,60566,,,,66200,738,5634,,WA,738,66200,66200
44.5,-89.5,Wisconsin,1,4/1/2020 8:00:00 PM,8,24,55,398,,61,398,,,1444,18819,,,,20369,199,1550,,WI,1643,20369,20369
39,-80.5,West Virginia,1,4/1/2020 8:00:00 PM,0,1,54,1,,0,1,,,403,4384,,,,4575,29,191,,WV,432,4575,4575
43.07597,-107.290283,Wyoming,1,4/1/2020 8:00:00 PM,0,0,56,18,,1,18,,,219,2218,,,,2348,21,130,31,WY,240,2348,2348
66.160507,-153.369141,Alaska,1,3/31/2020 8:00:00 PM,0,3,2,7,,0,7,,,54,3594,,,,3713,5,119,,AK,59,3713,3713
32.31823,-86.902298,Alabama,1,3/31/2020 8:00:00 PM,7,13,1,,,0,,,,604,6298,,,,7279,122,981,,AL,726,7279,7279
34.799999,-92.199997,Arkansas,1,3/31/2020 8:00:00 PM,1,8,5,,64,0,,,,697,5959,,23,,6482,50,523,35,AR,747,6482,6482
-14.306407,-170.6950175,American Samoa,1,3/31/2020 8:00:00 PM,0,0,60,,,0,,,,3,3,,,2,3,0,,,AS,3,3,5
34.048927,-111.093735,Arizona,1,3/31/2020 8:00:00 PM,4,24,4,,,0,,,,2480,18082,,,,19371,132,1289,,AZ,2612,19371,19371
36.778259,-119.417931,California,1,3/31/2020 8:00:00 PM,20,153,6,,1617,0,,,657,1223,21772,,,57400,29254,1035,7482,,CA,2258,29254,86654
39.113014,-105.358887,Colorado,1,3/31/2020 8:00:00 PM,0,51,8,414,,0,414,,,0,12737,,,,15364,0,2627,,CO,0,15364,15364
41.599998,-72.699997,Connecticut,1,3/31/2020 8:00:00 PM,33,69,9,,608,0,,,,1000,13029,,,,16157,557,3128,,CT,1557,16157,16157
38.900497,-77.007507,Dist. of Columbia,1,3/31/2020 8:00:00 PM,0,9,11,,,0,,,,580,3262,,,2,3757,94,495,121,DC,674,3757,3759
39,-75.5,Delaware,1,3/31/2020 8:00:00 PM,4,10,10,,57,0,,,,1480,3696,,,,4015,55,319,22,DE,1535,4015,4015
27.994402,-81.760254,Florida,1,3/31/2020 8:00:00 PM,14,77,12,823,,171,823,,,6060,54285,,,1163,60623,865,6338,,FL,6925,60623,61786
33.247875,-83.441162,Georgia,1,3/31/2020 8:00:00 PM,24,111,13,833,,126,833,,,2337,12252,,,,16181,1120,3929,,GA,3457,16181,16181
13.444304,144.793732,Guam,1,3/31/2020 8:00:00 PM,1,2,66,,19,0,,,2,19,371,,,,440,11,69,7,GU,30,440,440
19.741755,-155.844437,Hawaii,1,3/31/2020 8:00:00 PM,0,,15,12,,0,12,6,,646,8471,,,,8675,29,204,49,HI,675,8675,8675
42.032974,-93.581543,Iowa,1,3/31/2020 8:00:00 PM,1,7,19,94,61,20,94,,,726,6888,,,,7385,73,497,33,IA,799,7385,7385
44.068203,-114.742043,Idaho,1,3/31/2020 8:00:00 PM,1,7,16,45,,6,45,6,,901,5297,,,,5712,105,415,,ID,1006,5712,5712
40,-89,Illinois,1,3/31/2020 8:00:00 PM,26,99,17,,,0,,,,3842,29231,,,,35225,937,5994,,IL,4779,35225,35225
40.273502,-86.126976,Indiana,1,3/31/2020 8:00:00 PM,14,49,18,,,0,,,,1342,11214,,,,13373,373,2159,,IN,1715,13373,13373
38.5,-98,Kansas,1,3/31/2020 8:00:00 PM,1,9,20,79,,13,79,,,442,4996,,,,5424,60,428,,KS,502,5424,5424
37.839333,-84.27002,Kentucky,1,3/31/2020 8:00:00 PM,2,11,21,,,0,,,,751,6330,,,,6810,41,480,,KY,792,6810,6810
30.39183,-92.329102,Louisiana,1,3/31/2020 8:00:00 PM,54,239,22,,1355,0,,,,3722,33730,,438,,38967,1212,5237,,LA,4934,38967,38967
42.407211,-71.382439,Massachusetts,1,3/31/2020 8:00:00 PM,33,89,25,562,,109,562,,,3274,40315,,,,46935,868,6620,,MA,4142,46935,46935
39.045753,-76.641273,Maryland,1,3/31/2020 8:00:00 PM,3,18,24,429,,76,429,,,1552,14868,,,,16528,247,1660,,MD,1799,16528,16528
45.367584,-68.972168,Maine,1,3/31/2020 8:00:00 PM,2,5,23,57,,8,57,,,2694,6088,,,,6391,28,303,68,ME,2722,6391,6391
44.182205,-84.506836,Michigan,1,3/31/2020 8:00:00 PM,75,259,26,,,0,,,,0,11893,,,,19508,1117,7615,,MI,1117,19508,19508
46.39241,-109.533691,Minnesota,1,3/31/2020 8:00:00 PM,2,12,27,112,56,20,112,26,26,905,19151,,,,19780,53,629,,MN,958,19780,19780
38.573936,-92.60376,Missouri,1,3/31/2020 8:00:00 PM,1,14,29,,,0,,,,1410,14614,,,,15941,296,1327,,MO,1706,15941,15941
15.106389,145.706524,Northern Marianas,1,3/31/2020 8:00:00 PM,0,,69,,,0,,,,0,,,,,2,0,2,,MP,0,2,2
33,-90,Mississippi,1,3/31/2020 8:00:00 PM,4,20,28,211,,16,211,,,548,3537,,,,4474,90,937,,MS,638,4474,4474
46.96526,-109.533691,Montana,1,3/31/2020 8:00:00 PM,0,4,30,14,,4,14,,,273,4234,,,,4418,13,184,,MT,286,4418,4418
35.782169,-80.793457,North Carolina,1,3/31/2020 8:00:00 PM,2,8,37,,157,0,,,,2051,21608,,,,23106,191,1498,,NC,2242,23106,23106
47.650589,-100.437012,North Dakota,1,3/31/2020 8:00:00 PM,1,3,38,21,21,2,21,,,403,4131,,,,4257,17,126,30,ND,420,4257,4257
41.5,-100,Nebraska,1,3/31/2020 8:00:00 PM,1,3,31,,,0,,,,347,2931,,,8,3103,27,172,,NE,374,3103,3111
44,-71.5,New Hampshire,1,3/31/2020 8:00:00 PM,0,3,33,45,45,0,45,,,27,5413,,,65,5727,0,314,,NH,27,5727,5792
39.833851,-74.871826,New Jersey,1,3/31/2020 8:00:00 PM,69,267,34,,2000,0,,,,1853,27077,,,,45773,2060,18696,,NJ,3913,45773,45773
34.307144,-106.018066,New Mexico,1,3/31/2020 8:00:00 PM,2,4,35,22,22,0,22,,,1304,12246,,,,12527,44,281,26,NM,1348,12527,12527
39.876019,-117.224121,Nevada,1,3/31/2020 8:00:00 PM,2,17,32,,,0,,,,474,10681,,,,11794,105,1113,,NV,579,11794,11794
43,-75,New York,1,3/31/2020 8:00:00 PM,332,1550,36,15904,10929,2183,15904,2710,2710,9420,129391,,,,205186,9298,75795,4975,NY,18718,205186,205186
40.367474,-82.996216,Ohio,1,3/31/2020 8:00:00 PM,16,55,39,585,387,110,585,198,,1650,26992,,,,29191,266,2199,,OH,1916,29191,29191
36.084621,-96.921387,Oklahoma,1,3/31/2020 8:00:00 PM,6,23,40,177,,24,177,,,22,1229,,,,1794,84,565,,OK,106,1794,1794
44,-120.5,Oregon,1,3/31/2020 8:00:00 PM,2,18,41,154,132,14,154,,,859,13136,40,40,,13826,84,690,,OR,943,13826,13826
41.203323,-77.194527,Pennsylvania,1,3/31/2020 8:00:00 PM,14,63,42,514,,128,514,,,3868,37645,,,,42488,756,4843,,PA,4624,42488,42488
18.200178,-66.664513,Puerto Rico,1,3/31/2020 8:00:00 PM,2,8,72,,,0,,,,264,1195,,,854,1434,65,239,,PR,329,1434,2288
41.700001,-71.5,Rhode Island,1,3/31/2020 8:00:00 PM,4,8,44,59,59,18,59,9,9,289,3476,6,6,,3964,80,488,35,RI,369,3964,3964
33.836082,-81.163727,South Carolina,1,3/31/2020 8:00:00 PM,4,22,45,259,,130,259,,,456,4616,,,,5699,158,1083,,SC,614,5699,5699
44.5,-100,South Dakota,1,3/31/2020 8:00:00 PM,0,1,46,12,,12,12,,,131,3609,,,0,3717,7,108,44,SD,138,3717,3717
35.860119,-86.660156,Tennessee,1,3/31/2020 8:00:00 PM,10,23,47,175,,27,175,,,3651,25121,,,,27360,405,2239,121,TN,4056,27360,27360
31,-100,Texas,1,3/31/2020 8:00:00 PM,7,41,48,196,,196,196,,,6723,39726,,,,42992,389,3266,38,TX,7112,42992,42992
39.41922,-111.950684,Utah,1,3/31/2020 8:00:00 PM,1,5,49,73,,73,73,,,2429,17626,,,,18513,81,887,,UT,2510,18513,18513
37.926868,-78.024902,Virginia,1,3/31/2020 8:00:00 PM,2,27,51,165,,29,165,,,1133,12151,,,,13401,230,1250,,VA,1363,13401,13401
18.343441,-64.8671634,Virgin Islands,1,3/31/2020 8:00:00 PM,0,,78,,,0,,,,0,126,,,24,156,0,30,21,VI,0,156,180
44,-72.699997,Vermont,1,3/31/2020 8:00:00 PM,1,13,50,36,21,18,36,,,283,3957,,,,4250,37,293,15,VT,320,4250,4250
47.751076,-120.740135,Washington,1,3/31/2020 8:00:00 PM,0,195,53,254,,0,254,,,0,60566,,,,65462,0,4896,,WA,0,65462,65462
44.5,-89.5,Wisconsin,1,3/31/2020 8:00:00 PM,2,16,55,337,,337,337,,,1519,17375,,,,18726,130,1351,,WI,1649,18726,18726
39,-80.5,West Virginia,1,3/31/2020 8:00:00 PM,0,1,54,1,,0,1,,,997,3981,,,,4143,36,162,,WV,1033,4143,4143
43.07597,-107.290283,Wyoming,1,3/31/2020 8:00:00 PM,0,0,56,17,,0,17,,,159,1999,,,,2108,15,109,26,WY,174,2108,2108
66.160507,-153.369141,Alaska,1,3/30/2020 8:00:00 PM,1,3,2,7,,1,7,,,308,3540,,,,3654,12,114,,AK,320,3654,3654
32.31823,-86.902298,Alabama,1,3/30/2020 8:00:00 PM,2,6,1,,,0,,,,1510,5694,,,,6553,53,859,,AL,1563,6553,6553
34.799999,-92.199997,Arkansas,1,3/30/2020 8:00:00 PM,1,7,5,,62,0,,,,2235,5262,,21,,5735,47,473,29,AR,2282,5735,5735
-14.306407,-170.6950175,American Samoa,1,3/30/2020 8:00:00 PM,0,0,60,,,0,,,,0,,,,,0,0,,,AS,0,0,0
34.048927,-111.093735,Arizona,1,3/30/2020 8:00:00 PM,3,20,4,,,0,,,,2649,15602,,,,16759,238,1157,,AZ,2887,16759,16759
36.778259,-119.417931,California,1,3/30/2020 8:00:00 PM,10,133,6,,1432,0,,,597,0,20549,,,64400,26996,739,6447,,CA,739,26996,91396
39.113014,-105.358887,Colorado,1,3/30/2020 8:00:00 PM,7,51,8,414,,140,414,,,1522,12737,,,,15364,566,2627,,CO,2088,15364,15364
41.599998,-72.699997,Connecticut,1,3/30/2020 8:00:00 PM,2,36,9,,517,0,,,,2122,12029,,,,14600,578,2571,,CT,2700,14600,14600
38.900497,-77.007507,Dist. of Columbia,1,3/30/2020 8:00:00 PM,4,9,11,,,0,,,,213,2682,,,2,3083,59,401,106,DC,272,3083,3085
39,-75.5,Delaware,1,3/30/2020 8:00:00 PM,0,6,10,,45,0,,,,2180,2216,,,,2480,32,264,9,DE,2212,2480,2480
27.994402,-81.760254,Florida,1,3/30/2020 8:00:00 PM,7,63,12,652,,58,652,,,9155,48225,,,,53698,1227,5473,,FL,10382,53698,53698
33.247875,-83.441162,Georgia,1,3/30/2020 8:00:00 PM,7,87,13,707,,41,707,,,2,9915,,,,12724,158,2809,,GA,160,12724,12724
13.444304,144.793732,Guam,1,3/30/2020 8:00:00 PM,0,1,66,,19,0,,,2,18,352,,,,410,2,58,7,GU,20,410,410
19.741755,-155.844437,Hawaii,1,3/30/2020 8:00:00 PM,0,,15,12,,0,12,,,976,7825,,,,8000,24,175,,HI,1000,8000,8000
42.032974,-93.581543,Iowa,1,3/30/2020 8:00:00 PM,2,6,19,74,51,6,74,,,1149,6162,,,,6586,88,424,23,IA,1237,6586,6586
44.068203,-114.742043,Idaho,1,3/30/2020 8:00:00 PM,1,6,16,39,,3,39,,,375,4396,,,,4706,49,310,,ID,424,4706,4706
40,-89,Illinois,1,3/30/2020 8:00:00 PM,8,73,17,,,0,,,,2223,25389,,,,30446,461,5057,,IL,2684,30446,30446
40.273502,-86.126976,Indiana,1,3/30/2020 8:00:00 PM,3,35,18,,,0,,,,1556,9872,,,,11658,272,1786,,IN,1828,11658,11658
38.5,-98,Kansas,1,3/30/2020 8:00:00 PM,2,8,20,66,,11,66,,,360,4554,,,,4922,49,368,,KS,409,4922,4922
37.839333,-84.27002,Kentucky,1,3/30/2020 8:00:00 PM,0,9,21,,,0,,,,432,5579,,,,6018,45,439,,KY,477,6018,6018
30.39183,-92.329102,Louisiana,1,3/30/2020 8:00:00 PM,34,185,22,,1185,0,,,,5677,30008,,385,,34033,485,4025,,LA,6162,34033,34033
42.407211,-71.382439,Massachusetts,1,3/30/2020 8:00:00 PM,8,56,25,453,,54,453,,,2930,37041,,,,42793,797,5752,,MA,3727,42793,42793
39.045753,-76.641273,Maryland,1,3/30/2020 8:00:00 PM,5,15,24,353,,76,353,,,962,13316,,,,14729,174,1413,,MD,1136,14729,14729
45.367584,-68.972168,Maine,1,3/30/2020 8:00:00 PM,0,3,23,49,,49,49,,,0,3394,,,,3669,22,275,41,ME,22,3669,3669
44.182205,-84.506836,Michigan,1,3/30/2020 8:00:00 PM,52,184,26,,,0,,,,0,11893,,,,18391,1012,6498,,MI,1012,18391,18391
46.39241,-109.533691,Minnesota,1,3/30/2020 8:00:00 PM,1,10,27,92,56,17,92,24,24,1092,18246,,,,18822,73,576,,MN,1165,18822,18822
38.573936,-92.60376,Missouri,1,3/30/2020 8:00:00 PM,3,13,29,,,0,,,,1657,13204,,,,14235,193,1031,,MO,1850,14235,14235
15.106389,145.706524,Northern Marianas,1,3/30/2020 8:00:00 PM,0,,69,,,0,,,,0,,,,,2,0,2,,MP,0,2,2
33,-90,Mississippi,1,3/30/2020 8:00:00 PM,2,16,28,195,,-40,195,,,429,2989,,,,3836,89,847,,MS,518,3836,3836
46.96526,-109.533691,Montana,1,3/30/2020 8:00:00 PM,3,4,30,10,,2,10,,,-182,3961,,,,4132,17,171,,MT,-165,4132,4132
35.782169,-80.793457,North Carolina,1,3/30/2020 8:00:00 PM,2,6,37,,137,0,,,,1652,19557,,,,20864,267,1307,,NC,1919,20864,20864
47.650589,-100.437012,North Dakota,1,3/30/2020 8:00:00 PM,1,2,38,19,,2,19,,,373,3728,,,,3837,11,109,19,ND,384,3837,3837
41.5,-100,Nebraska,1,3/30/2020 8:00:00 PM,0,2,31,,,0,,,,616,2584,,,5,2729,37,145,,NE,653,2729,2734
44,-71.5,New Hampshire,1,3/30/2020 8:00:00 PM,1,3,33,45,,12,45,,,862,5386,,,144,5700,100,314,,NH,962,5700,5844
39.833851,-74.871826,New Jersey,1,3/30/2020 8:00:00 PM,37,198,34,,2000,0,,,,3008,25224,,,,41860,3250,16636,,NJ,6258,41860,41860
34.307144,-106.018066,New Mexico,1,3/30/2020 8:00:00 PM,0,2,35,22,22,3,22,,,173,10942,,,,11179,0,237,26,NM,173,11179,11179
39.876019,-117.224121,Nevada,1,3/30/2020 8:00:00 PM,1,15,32,,,0,,,,1795,10207,,,,11215,270,1008,,NV,2065,11215,11215
43,-75,New York,1,3/30/2020 8:00:00 PM,253,1218,36,13721,9517,1646,13721,2352,2352,7124,119971,,,,186468,6984,66497,4204,NY,14108,186468,186468
40.367474,-82.996216,Ohio,1,3/30/2020 8:00:00 PM,10,39,39,475,312,72,475,163,,6330,25342,,,,27275,280,1933,,OH,6610,27275,27275
36.084621,-96.921387,Oklahoma,1,3/30/2020 8:00:00 PM,1,17,40,153,,13,153,,,2,1207,,,,1688,52,481,,OK,54,1688,1688
44,-120.5,Oregon,1,3/30/2020 8:00:00 PM,3,16,41,140,,11,140,,,1399,12277,39,39,,12883,58,606,,OR,1457,12883,12883
41.203323,-77.194527,Pennsylvania,1,3/30/2020 8:00:00 PM,11,49,42,386,,33,386,,,3716,33777,,,,37864,693,4087,,PA,4409,37864,37864
18.200178,-66.664513,Puerto Rico,1,3/30/2020 8:00:00 PM,1,6,72,,,0,,,,90,931,,,794,1105,47,174,,PR,137,1105,1899
41.700001,-71.5,Rhode Island,1,3/30/2020 8:00:00 PM,1,4,44,41,41,6,41,9,9,646,3187,6,6,,3595,114,408,,RI,760,3595,3595
33.836082,-81.163727,South Carolina,1,3/30/2020 8:00:00 PM,2,18,45,129,,0,129,,,1145,4160,,,,5085,151,925,,SC,1296,5085,5085
44.5,-100,South Dakota,1,3/30/2020 8:00:00 PM,0,1,46,,,0,,,,351,3478,,,0,3579,11,101,34,SD,362,3579,3579
35.860119,-86.660156,Tennessee,1,3/30/2020 8:00:00 PM,6,13,47,148,,15,148,,,2433,21470,,,,23304,297,1834,,TN,2730,23304,23304
31,-100,Texas,1,3/30/2020 8:00:00 PM,0,34,48,,,0,,,,9795,33003,,,,35880,325,2877,38,TX,10120,35880,35880
39.41922,-111.950684,Utah,1,3/30/2020 8:00:00 PM,2,4,49,,,0,,,,1923,15197,,,,16003,87,806,,UT,2010,16003,16003
37.926868,-78.024902,Virginia,1,3/30/2020 8:00:00 PM,3,25,51,136,,24,136,,,1299,11018,,,,12038,130,1020,,VA,1429,12038,12038
18.343441,-64.8671634,Virgin Islands,1,3/30/2020 8:00:00 PM,0,,78,,,0,,,,3,126,,,24,156,7,30,,VI,10,156,180
44,-72.699997,Vermont,1,3/30/2020 8:00:00 PM,0,12,50,18,,0,18,,,208,3674,,,,3930,21,256,,VT,229,3930,3930
47.751076,-120.740135,Washington,1,3/30/2020 8:00:00 PM,6,195,53,254,,0,254,,,5670,60566,,,,65462,586,4896,,WA,6256,65462,65462
44.5,-89.5,Wisconsin,1,3/30/2020 8:00:00 PM,1,14,55,,,0,,,,-694,15856,,,,17077,109,1221,,WI,-585,17077,17077
39,-80.5,West Virginia,1,3/30/2020 8:00:00 PM,1,1,54,1,,0,1,,,279,2984,,,0,3110,13,126,,WV,292,3110,3110
43.07597,-107.290283,Wyoming,1,3/30/2020 8:00:00 PM,0,0,56,17,,2,17,,,286,1840,,,,1934,8,94,24,WY,294,1934,1934
66.160507,-153.369141,Alaska,1,3/29/2020 8:00:00 PM,0,2,2,6,,1,6,,,396,3232,,,,3334,17,102,,AK,413,3334,3334
32.31823,-86.902298,Alabama,1,3/29/2020 8:00:00 PM,1,4,1,,,0,,,,0,4184,,,,4990,110,806,,AL,110,4990,4990
34.799999,-92.199997,Arkansas,1,3/29/2020 8:00:00 PM,1,6,5,,43,0,,,,89,3027,,16,,3453,22,426,28,AR,111,3453,3453
-14.306407,-170.6950175,American Samoa,1,3/29/2020 8:00:00 PM,0,0,60,,,0,,,,0,,,,,0,0,,,AS,0,0,0
34.048927,-111.093735,Arizona,1,3/29/2020 8:00:00 PM,2,17,4,,,0,,,,5498,12953,,,,13872,46,919,,AZ,5544,13872,13872
36.778259,-119.417931,California,1,3/29/2020 8:00:00 PM,22,123,6,,1034,0,,,410,0,20549,,,64400,26257,1065,5708,,CA,1065,26257,90657
39.113014,-105.358887,Colorado,1,3/29/2020 8:00:00 PM,13,44,8,274,,35,274,,,1273,11215,,,,13276,327,2061,,CO,1600,13276,13276
41.599998,-72.699997,Connecticut,1,3/29/2020 8:00:00 PM,7,34,9,,404,0,,,,2798,9907,,,,11900,702,1993,,CT,3500,11900,11900
38.900497,-77.007507,Dist. of Columbia,1,3/29/2020 8:00:00 PM,1,5,11,,,0,,,,258,2469,,,1,2811,38,342,66,DC,296,2811,2812
39,-75.5,Delaware,1,3/29/2020 8:00:00 PM,3,6,10,,33,0,,,,0,36,,,,268,18,232,9,DE,18,268,268
27.994402,-81.760254,Florida,1,3/29/2020 8:00:00 PM,2,56,12,594,,68,594,,,3704,39070,,,,43316,483,4246,,FL,4187,43316,43316
33.247875,-83.441162,Georgia,1,3/29/2020 8:00:00 PM,11,80,13,666,,49,666,,,1228,9913,,,,12564,285,2651,,GA,1513,12564,12564
13.444304,144.793732,Guam,1,3/29/2020 8:00:00 PM,0,1,66,,15,0,,,,35,334,,,,390,1,56,7,GU,36,390,390
19.741755,-155.844437,Hawaii,1,3/29/2020 8:00:00 PM,0,,15,12,,4,12,,,2492,6849,,,,7000,31,151,,HI,2523,7000,7000
42.032974,-93.581543,Iowa,1,3/29/2020 8:00:00 PM,1,4,19,68,51,7,68,,,638,5013,,,,5349,38,336,17,IA,676,5349,5349
44.068203,-114.742043,Idaho,1,3/29/2020 8:00:00 PM,1,5,16,36,,11,36,,,679,4021,,,,4282,31,261,,ID,710,4282,4282
40,-89,Illinois,1,3/29/2020 8:00:00 PM,18,65,17,,,0,,,,1166,23166,,,,27762,1105,4596,,IL,2271,27762,27762
40.273502,-86.126976,Indiana,1,3/29/2020 8:00:00 PM,1,32,18,,,0,,,,1141,8316,,,,9830,282,1514,,IN,1423,9830,9830
38.5,-98,Kansas,1,3/29/2020 8:00:00 PM,1,6,20,55,,28,55,,,523,4194,,,,4513,58,319,,KS,581,4513,4513
37.839333,-84.27002,Kentucky,1,3/29/2020 8:00:00 PM,1,9,21,,,0,,,,326,5147,,,,5541,92,394,,KY,418,5541,5541
30.39183,-92.329102,Louisiana,1,3/29/2020 8:00:00 PM,14,151,22,,1127,0,,,,2485,24331,,380,,27871,225,3540,,LA,2710,27871,27871
42.407211,-71.382439,Massachusetts,1,3/29/2020 8:00:00 PM,4,48,25,399,,49,399,,,3319,34111,,,,39066,698,4955,,MA,4017,39066,39066
39.045753,-76.641273,Maryland,1,3/29/2020 8:00:00 PM,5,10,24,277,,51,277,,,838,12354,,,,13593,247,1239,,MD,1085,13593,13593
45.367584,-68.972168,Maine,1,3/29/2020 8:00:00 PM,2,3,23,,,0,,,,0,3394,,,,3647,42,253,41,ME,42,3647,3647
44.182205,-84.506836,Michigan,1,3/29/2020 8:00:00 PM,40,132,26,,,0,,,,2784,11893,,,,17379,1829,5486,,MI,4613,17379,17379
46.39241,-109.533691,Minnesota,1,3/29/2020 8:00:00 PM,4,9,27,75,39,18,75,17,,1466,17154,,,,17657,62,503,252,MN,1528,17657,17657
38.573936,-92.60376,Missouri,1,3/29/2020 8:00:00 PM,0,10,29,,,0,,,,1465,11547,,,,12385,0,838,,MO,1465,12385,12385
15.106389,145.706524,Northern Marianas,1,3/29/2020 8:00:00 PM,0,,69,,,0,,,,0,,,,,2,0,2,,MP,0,2,2
33,-90,Mississippi,1,3/29/2020 8:00:00 PM,1,14,28,235,,16,235,,,0,2560,,,,3318,95,758,,MS,95,3318,3318
46.96526,-109.533691,Montana,1,3/29/2020 8:00:00 PM,0,1,30,8,,1,8,,,887,4143,,,,4297,25,154,,MT,912,4297,4297
35.782169,-80.793457,North Carolina,1,3/29/2020 8:00:00 PM,0,4,37,,91,0,,,,1313,17905,,,,18945,105,1040,,NC,1418,18945,18945
47.650589,-100.437012,North Dakota,1,3/29/2020 8:00:00 PM,0,1,38,17,,1,17,,,546,3355,,,,3453,15,98,18,ND,561,3453,3453
41.5,-100,Nebraska,1,3/29/2020 8:00:00 PM,0,2,31,,,0,,,,64,1968,,,4,2076,12,108,,NE,76,2076,2080
44,-71.5,New Hampshire,1,3/29/2020 8:00:00 PM,0,2,33,33,,3,33,,,868,4524,,,285,4738,27,214,,NH,895,4738,5023
39.833851,-74.871826,New Jersey,1,3/29/2020 8:00:00 PM,21,161,34,,2000,0,,,,2830,22216,,,,35602,2262,13386,,NJ,5092,35602,35602
34.307144,-106.018066,New Mexico,1,3/29/2020 8:00:00 PM,1,2,35,19,19,2,19,,,1573,10769,,,,11006,46,237,2,NM,1619,11006,11006
39.876019,-117.224121,Nevada,1,3/29/2020 8:00:00 PM,4,14,32,,,0,,,,511,8412,,,,9150,117,738,,NV,628,9150,9150
43,-75,New York,1,3/29/2020 8:00:00 PM,237,965,36,12075,8503,2021,12075,2037,2037,9231,112847,,,,172360,7195,59513,3572,NY,16426,172360,172360
40.367474,-82.996216,Ohio,1,3/29/2020 8:00:00 PM,4,29,39,403,,59,403,139,,0,19012,,,,20665,247,1653,,OH,247,20665,20665
36.084621,-96.921387,Oklahoma,1,3/29/2020 8:00:00 PM,1,16,40,140,,14,140,,,25,1205,,,,1634,52,429,,OK,77,1634,1634
44,-120.5,Oregon,1,3/29/2020 8:00:00 PM,0,13,41,129,107,12,129,,,1185,10878,37,37,,11426,69,548,,OR,1254,11426,11426
41.203323,-77.194527,Pennsylvania,1,3/29/2020 8:00:00 PM,4,38,42,353,,37,353,,,4807,30061,,,,33455,643,3394,,PA,5450,33455,33455
18.200178,-66.664513,Puerto Rico,1,3/29/2020 8:00:00 PM,2,5,72,,,0,,,,102,841,,,817,968,27,127,,PR,129,968,1785
41.700001,-71.5,Rhode Island,1,3/29/2020 8:00:00 PM,3,3,44,35,35,7,35,9,9,235,2541,6,6,,2835,91,294,,RI,326,2835,2835
33.836082,-81.163727,South Carolina,1,3/29/2020 8:00:00 PM,3,16,45,129,,0,129,,,607,3015,,,,3789,235,774,,SC,842,3789,3789
44.5,-100,South Dakota,1,3/29/2020 8:00:00 PM,0,1,46,,,0,,,,535,3127,,,1,3217,22,90,29,SD,557,3217,3218
35.860119,-86.660156,Tennessee,1,3/29/2020 8:00:00 PM,1,7,47,133,,15,133,,,2072,19037,,,,20574,164,1537,,TN,2236,20574,20574
31,-100,Texas,1,3/29/2020 8:00:00 PM,7,34,48,,,0,,,,0,23208,,,,25760,500,2552,,TX,500,25760,25760
39.41922,-111.950684,Utah,1,3/29/2020 8:00:00 PM,0,2,49,,,0,,,,2564,13274,,,,13993,117,719,,UT,2681,13993,13993
37.926868,-78.024902,Virginia,1,3/29/2020 8:00:00 PM,5,22,51,112,,13,112,,,1292,9719,,,,10609,151,890,,VA,1443,10609,10609
18.343441,-64.8671634,Virgin Islands,1,3/29/2020 8:00:00 PM,0,,78,,,0,,,,17,123,,,37,146,1,23,,VI,18,146,183
